126,27,4
84,68,5
136,3,4
133,78,3
108,24,3
86,89,3
174,11,3
74,21,2
38,31,3
87,79,3
116,31,3
24,80,4
185,3,4
136,62,5
142,45,4
101,23,3
126,21,3
58,8,3
84,61,4
93,4,3
84,63,2
52,10,5
32,48,4
174,85,3
41,49,4
10,88,4
144,58,5
84,52,3
129,63,3
174,51,3
10,64,2
126,63,3
94,1,4
59,21,5
42,2,5
34,71,4
164,29,4
142,28,4
27,14,5
139,36,3
94,91,5
9,56,4
136,24,4
182,43,4
171,34,3
21,43,4
91,60,3
27,40,4
95,35,3
19,93,3
181,10,5
133,97,4
105,75,3
146,37,1
126,51,3
47,34,4
177,49,3
19,97,4
115,14,4
126,23,4
81,37,5
186,22,4
36,97,3
65,67,4
81,3,5
10,59,4
155,21,4
162,27,4
197,34,4
166,61,3
174,34,2
81,53,5
101,57,5
79,98,4
143,35,4
136,9,4
195,69,4
62,72,3
105,73,4
116,32,5
71,50,3
68,38,3
100,66,4
195,15,4
10,56,3
86,34,4
71,4,4
98,10,4
93,48,3
107,31,4
115,97,2
161,53,5
68,37,4
95,26,4
195,81,3
48,35,5
190,61,5
16,9,5
68,96,2
10,23,3
118,86,5
89,86,4
39,9,5
63,79,1
61,77,4
63,75,4
196,99,3
155,51,4
104,46,5
116,82,5
133,20,1
58,36,4
172,46,3
116,17,4
10,8,3
143,20,5
115,1,2
186,31,3
139,4,3
104,31,3
85,18,3
172,52,4
116,5,4
48,38,4
191,17,4
156,54,1
192,7,2
2,64,5
35,76,4
57,39,4
32,39,4
149,78,4
16,6,5
98,18,5
186,45,3
119,88,4
186,2,4
24,6,4
10,76,4
45,33,3
172,98,3
130,2,5
154,93,4
16,2,4
149,85,2
75,66,4
42,18,5
34,3,5
107,37,2
119,5,4
10,85,3
44,6,4
147,16,5
28,79,4
27,11,5
98,2,4
198,91,1
28,99,3
10,40,4
186,17,4
57,41,3
91,22,4
182,20,5
15,6,2
49,78,5
60,20,5
19,52,1
15,33,2
39,16,5
25,55,4
133,65,3
48,68,3
10,51,3
98,28,3
31,35,5
182,16,4
14,72,3
100,16,4
182,81,4
142,4,4
155,17,5
7,77,3
47,99,5
166,13,5
10,97,4
148,45,4
27,73,4
142,1,4
129,97,4
101,15,4
32,94,4
81,22,5
21,39,3
174,4,4
26,72,4
149,47,4
72,81,4
10,68,3
116,81,3
70,16,5
19,17,5
118,43,5
84,99,2
187,32,4
81,78,5
70,29,3
175,6,5
27,96,4
31,41,4
68,29,2
174,19,4
116,15,5
171,52,4
77,14,4
98,36,2
16,13,5
68,79,3
175,81,5
7,80,5
36,19,5
154,13,3
115,96,3
68,69,2
143,99,4
198,99,4
186,75,5
160,2,4
107,3,4
146,20,4
180,18,3
146,18,1
81,35,5
81,12,5
16,50,5
27,50,4
163,18,3
155,47,4
102,39,2
76,61,5
121,81,3
113,28,5
98,11,2
129,10,4
173,93,5
72,93,5
171,51,4
32,90,5
88,57,2
73,14,5
65,51,5
34,39,4
182,9,5
113,87,5
133,63,3
4,17,3
74,50,4
63,65,4
149,28,4
117,18,3
5,91,2
182,10,5
151,29,4
118,88,4
113,66,4
73,52,1
24,5,3
192,70,5
115,40,1
59,34,5
47,66,4
172,73,4
53,29,5
101,91,3
116,97,4
85,60,3
192,30,5
27,64,3
146,58,3
72,27,5
186,70,4
97,6,4
159,61,3
73,36,5
82,73,4
155,95,4
34,36,3
107,43,2
41,12,4
116,24,5
17,39,3
47,61,5
161,51,3
186,39,4
70,20,5
109,44,4
186,21,4
83,25,4
138,13,4
144,43,5
117,43,5
113,13,4
16,66,4
129,83,4
107,72,3
68,40,4
52,23,5
146,9,4
77,53,3
44,30,4
172,78,5
138,67,4
100,94,4
180,27,3
126,86,4
103,94,3
19,81,4
171,14,4
126,65,4
20,59,5
161,40,2
174,49,3
149,19,4
1,62,1
105,6,3
36,1,4
13,53,5
126,6,4
17,45,2
185,71,3
149,21,4
176,6,5
90,53,5
73,20,5
131,62,5
74,42,4
136,50,3
133,57,3
193,22,5
149,14,4
23,69,3
34,26,5
81,42,4
181,6,4
197,91,5
155,69,4
156,21,3
58,70,5
166,60,2
24,25,3
106,8,4
2,34,5
81,1,5
50,11,3
44,14,5
171,35,3
133,55,3
119,27,4
186,10,4
116,28,4
19,55,1
82,55,4
182,65,3
112,72,4
161,24,5
66,6,4
122,40,5
192,65,5
182,46,4
